model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
"RNN(3|0.1|3|0.1|linear, RMSprop, mse) close,open,high,low,volume,weekday batch_size=10 epochs=6 seq_len=7 pred_len=7",0,300,300,False,seqs,6.2703e-03,0.0749%,0.1022%,73.0769%
"RNN(3|0.1|3|0.1|linear, RMSprop, mse) close,open,high,low,volume,weekday batch_size=10 epochs=6 seq_len=7 pred_len=7",300,600,300,False,seqs,6.7996e-03,0.0845%,0.1147%,76.9231%
"RNN(3|0.1|3|0.1|linear, RMSprop, mse) close,open,high,low,volume,weekday batch_size=10 epochs=6 seq_len=7 pred_len=7",600,900,300,False,seqs,6.8979e-03,0.1587%,0.1967%,68.8462%
model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
"RNN(3|0.1|3|0.1|linear, RMSprop, mse) close,open,high,low,volume,weekday batch_size=10 epochs=3 seq_len=7 pred_len=7",0,300,300,False,seqs,1.1356e-02,0.0959%,0.1022%,61.1538%
"RNN(3|0.1|3|0.1|linear, RMSprop, mse) close,open,high,low,volume,weekday batch_size=10 epochs=3 seq_len=7 pred_len=7",300,600,300,False,seqs,9.4116e-03,0.1036%,0.1147%,66.1538%
"RNN(3|0.1|3|0.1|linear, RMSprop, mse) close,open,high,low,volume,weekday batch_size=10 epochs=3 seq_len=7 pred_len=7",600,900,300,False,seqs,7.1137e-03,0.1585%,0.1967%,69.6154%
