model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
"RNN(3|0.1|3|0.1|linear, RMSprop, mse) close batch_size=10 epochs=6 seq_len=7 pred_len=7",0,300,300,False,seqs,4.4657e-03,0.0727%,0.1022%,70.0000%
"RNN(3|0.1|3|0.1|linear, RMSprop, mse) close batch_size=10 epochs=6 seq_len=7 pred_len=7",300,600,300,False,seqs,4.7336e-03,0.0834%,0.1147%,79.6154%
"RNN(3|0.1|3|0.1|linear, RMSprop, mse) close batch_size=10 epochs=6 seq_len=7 pred_len=7",600,900,300,False,seqs,7.0033e-03,0.1487%,0.1967%,77.3077%
"RNN(3|0.1|3|0.1|linear, RMSprop, mse) close batch_size=10 epochs=6 seq_len=7 pred_len=7",0,300,300,False,seqs,5.1054e-03,0.0708%,0.1022%,71.1538%
"RNN(3|0.1|3|0.1|linear, RMSprop, mse) close batch_size=10 epochs=3 seq_len=7 pred_len=7",0,300,300,False,seqs,5.7931e-03),0.0770%,0.0289%,54.3860%
