model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
"RNN(3|0.1|3|0.1|linear, RMSprop, mse) close batch_size=10 epochs=3 seq_len=7 pred_len=7",0,300,300,False,seqs,6.2622e-03,0.1184%,0.1590%,75.3846%
"RNN(3|0.1|3|0.1|linear, RMSprop, mse) close batch_size=10 epochs=3 seq_len=7 pred_len=7",300,600,300,False,seqs,1.5878e-02,0.3832%,0.5440%,68.0769%
