model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
"RNN(3|0.1|3|0.1|linear, RMSprop, mse) close batch_size=10 epochs=3 seq_len=7 pred_len=7",0,300,300,False,seqs,1.8408e-02,0.1039%,0.1467%,71.5385%
"RNN(3|0.1|3|0.1|linear, RMSprop, mse) close batch_size=10 epochs=3 seq_len=7 pred_len=7",300,600,300,False,seqs,1.0418e-02,0.1458%,0.2224%,78.0769%
