model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",78000,103000,3000,False,seqs,9.9849e-04),0.0718%,0.0200%,55.9375%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",81000,106000,3000,False,seqs,7.7692e-04),0.0229%,0.0145%,45.6641%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",84000,109000,3000,False,seqs,6.9459e-04),0.0290%,0.0175%,46.4844%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",87000,112000,3000,False,seqs,8.7521e-04),0.0425%,0.0158%,48.0078%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",90000,115000,3000,False,seqs,6.8208e-04),0.0211%,0.0103%,49.2969%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",93000,118000,3000,False,seqs,9.2103e-04),0.0731%,0.0093%,54.1797%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",96000,121000,3000,False,seqs,6.1556e-04),0.0245%,0.0100%,45.1953%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",99000,124000,3000,False,seqs,7.1552e-04),0.0096%,0.0060%,52.0703%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",102000,127000,3000,False,seqs,9.7797e-04),0.0291%,0.0117%,52.5391%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",105000,130000,3000,False,seqs,6.7862e-04),0.0256%,0.0129%,55.2734%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",108000,133000,3000,False,seqs,6.9280e-04),0.0120%,0.0090%,61.8750%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",111000,136000,3000,False,seqs,5.7491e-04),0.0212%,0.0103%,45.6250%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",114000,139000,3000,False,seqs,5.5606e-04),0.0279%,0.0252%,71.6797%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",117000,142000,3000,False,seqs,5.6301e-04),0.0907%,0.0297%,64.8828%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",120000,145000,3000,False,seqs,7.5473e-04),0.0981%,0.0492%,49.6484%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",123000,148000,3000,False,seqs,5.1563e-04),0.0875%,0.0248%,41.2500%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",126000,151000,3000,False,seqs,5.7212e-04),0.0344%,0.0137%,43.0469%
