model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",75000,100000,3000,False,seqs,8.6376e-04),0.0401%,0.0331%,54.0625%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",78000,103000,3000,False,seqs,6.5513e-04),0.0737%,0.0200%,56.0938%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",81000,106000,3000,False,seqs,5.7246e-04),0.0221%,0.0145%,41.3281%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",84000,109000,3000,False,seqs,1.0013e-03),0.0232%,0.0175%,46.7969%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",87000,112000,3000,False,seqs,6.1958e-04),0.0345%,0.0158%,47.7734%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",90000,115000,3000,False,seqs,6.9386e-04),0.0161%,0.0103%,49.6484%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",93000,118000,3000,False,seqs,8.2202e-04),0.0357%,0.0093%,50.2344%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",96000,121000,3000,False,seqs,5.8461e-04),0.0274%,0.0100%,45.3125%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",99000,124000,3000,False,seqs,5.2197e-04),0.0086%,0.0060%,57.4219%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",102000,127000,3000,False,seqs,8.8780e-04),0.0144%,0.0117%,52.1875%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",105000,130000,3000,False,seqs,9.2870e-04),0.0440%,0.0129%,50.3125%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",108000,133000,3000,False,seqs,5.4594e-04),0.0337%,0.0090%,58.2812%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",111000,136000,3000,False,seqs,3.9339e-04),0.0124%,0.0103%,54.3359%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",114000,139000,3000,False,seqs,3.8709e-04),0.0289%,0.0252%,61.4062%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",117000,142000,3000,False,seqs,8.2391e-04),0.1080%,0.0297%,64.1797%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",120000,145000,3000,False,seqs,5.6073e-04),0.0553%,0.0492%,53.2812%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",123000,148000,3000,False,seqs,6.2004e-04),0.0967%,0.0248%,39.9609%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",126000,151000,3000,False,seqs,6.8360e-04),0.0345%,0.0137%,44.2187%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",129000,154000,3000,False,seqs,8.7702e-04),0.0165%,0.0097%,45.8594%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",132000,157000,3000,False,seqs,5.2960e-04),0.0670%,0.0372%,39.3359%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",135000,160000,3000,False,seqs,6.8683e-04),0.0229%,0.0119%,44.8047%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",138000,163000,3000,False,seqs,7.6748e-04),0.0208%,0.0050%,46.0156%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",141000,166000,3000,False,seqs,7.1414e-04),0.0315%,0.0142%,41.7969%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",144000,169000,3000,False,seqs,5.9055e-04),0.0380%,0.0105%,45.9766%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",147000,172000,3000,False,seqs,4.8604e-04),0.0620%,0.0057%,43.2031%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",150000,175000,3000,False,seqs,4.7239e-04),0.0094%,0.0046%,52.3047%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",153000,178000,3000,False,seqs,7.7552e-04),0.0275%,0.0077%,61.3281%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",156000,181000,3000,False,seqs,4.5153e-04),0.0724%,0.0156%,61.4844%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",159000,184000,3000,False,seqs,5.8813e-04),0.0256%,0.0244%,57.8906%
