"date","close","volume","open","high","low"
"2018/04/16","13.1800","2480680.0000","13.5950","13.6000","12.7700"
"2018/04/13","13.5200","4595658.0000","13.2000","13.5200","13.0000"
"2018/04/12","12.4800","4328163.0000","12.6400","12.8600","11.9000"
"2018/04/11","11.4800","2214684.0000","11.0500","11.5400","11.0000"
"2018/04/10","11.0500","2322218.0000","10.7250","11.1400","10.5600"
"2018/04/09","10.5500","2137848.0000","10.8000","10.9800","10.5400"
"2018/04/06","10.5500","2934548.0000","10.6700","10.8299","10.4500"
"2018/04/05","11.0100","3308872.0000","10.7900","11.2900","10.4400"
"2018/04/04","11.1200","3450871.0000","11.6000","11.9100","11.0100"
"2018/04/03","12.6700","3808861.0000","11.4450","12.8400","11.4400"
"2018/04/02","11.1900","3366176.0000","10.2350","11.3200","10.2300"
"2018/03/29","10.4900","5229403.0000","10.7400","10.9500","10.1700"
"2018/03/28","11.2800","3885889.0000","11.9400","12.1000","11.1100"
"2018/03/27","11.9500","4114409.0000","12.5500","13.1500","11.7400"
"2018/03/26","12.6100","4259090.0000","13.2000","13.3000","12.2500"
"2018/03/23","13.7200","2316350.0000","13.6100","14.3900","13.5000"
"2018/03/22","14.0900","2361284.0000","14.3500","14.6000","13.8500"
"2018/03/21","14.7500","4044044.0000","14.7800","15.5900","14.2600"
"2018/03/20","14.6000","3474798.0000","13.7950","14.6000","13.6500"
"2018/03/19","13.6000","3263841.0000","13.9350","14.6000","13.4600"
"2018/03/16","14.2300","3515383.0000","13.8450","14.5000","13.6400"
"2018/03/15","13.4600","3971861.0000","13.2000","13.5400","12.9100"
"2018/03/14","13.3050","5493265.0000","14.1500","14.3400","13.2800"
"2018/03/13","14.8000","2607587.0000","15.2300","15.3800","14.5200"
"2018/03/12","15.1600","3085645.0000","15.8400","15.8700","15.0100"
"2018/03/09","14.9899","4362168.0000","14.6100","15.4900","14.5300"
"2018/03/08","15.7400","4784385.0000","15.6100","16.2899","14.9100"
"2018/03/07","15.7400","7850750.0000","16.9950","17.3600","14.8000"
"2018/03/06","17.1599","3915040.0000","17.6850","17.9000","17.0200"
"2018/03/05","18.6101","3143133.0000","18.7100","18.9000","18.3000"
"2018/03/02","18.0000","1998813.0000","17.9250","18.0500","17.3200"
"2018/03/01","18.1000","2036547.0000","17.9400","18.1500","17.6800"
"2018/02/28","17.8300","2028532.0000","17.8600","18.1000","17.5400"
"2018/02/27","18.1600","3504878.0000","18.5550","18.7600","18.0601"
"2018/02/26","17.8200","4027363.0000","18.0500","18.1900","17.5100"
"2018/02/23","17.2100","4660164.0000","17.7200","18.2500","17.1300"
"2018/02/22","16.9200","6643852.0000","17.0100","17.2400","16.2800"
"2018/02/21","17.8600","5963642.0000","18.1900","18.7000","17.7500"
"2018/02/20","19.9900","6919252.0000","20.0600","20.4000","19.5300"
"2018/02/16","17.7600","6899786.0000","17.7500","19.4000","17.4900"
"2018/02/15","18.6400","9015808.0000","17.3600","19.4100","16.4400"
"2018/02/14","16.4400","6482816.0000","15.2050","16.5875","15.2000"
"2018/02/13","14.3900","2317114.0000","14.6950","14.7000","14.0500"
