datetime,close,open,high,low,volume,missing
2015-06-02,2109.6,2110.41,2117.59,2099.14,,0
2015-06-03,2114.07,2110.64,2121.92,2109.61,,0
2015-06-04,2095.84,2112.35,2112.89,2093.23,,0
2015-06-05,2092.83,2095.09,2100.99,2085.67,,0
2015-06-08,2079.28,2092.34,2093.01,2079.11,,0
2015-06-09,2080.15,2079.07,2085.62,2072.14,,0
2015-06-10,2105.2,2081.12,2108.5,2081.12,,0
2015-06-11,2108.86,2106.24,2115.02,2106.24,,0
2015-06-12,2094.11,2107.43,2107.43,2091.33,,0
2015-06-15,2084.43,2091.34,2091.34,2072.49,,0
2015-06-16,2096.29,2084.26,2097.4,2082.1,,0
2015-06-17,2100.44,2097.4,2106.79,2088.86,,0
2015-06-18,2121.24,2101.58,2126.65,2101.58,,0
2015-06-19,2109.99,2121.06,2121.64,2109.45,,0
2015-06-22,2122.85,2112.5,2129.87,2112.5,,0
2015-06-23,2124.2,2123.16,2128.03,2119.89,,0
2015-06-24,2108.58,2123.65,2125.1,2108.58,,0
2015-06-25,2102.31,2109.96,2116.04,2101.78,,0
2015-06-26,2101.49,2102.62,2108.92,2095.38,,0
2015-06-29,2057.64,2098.63,2098.63,2056.64,,0
2015-06-30,2063.11,2061.19,2074.28,2056.32,,0
2015-07-01,2077.42,2067.0,2082.78,2067.0,,0
2015-07-02,2076.78,2078.03,2085.06,2071.02,,0
2015-07-06,2068.76,2073.95,2078.61,2058.4,,0
2015-07-07,2081.34,2069.52,2083.74,2044.02,,0
2015-07-08,2046.68,2077.66,2077.66,2044.66,,0
2015-07-09,2051.31,2049.73,2074.28,2049.73,,0
2015-07-10,2076.62,2052.74,2081.31,2052.74,,0
2015-07-13,2099.6,2080.03,2100.67,2080.03,,0
2015-07-14,2108.95,2099.72,2111.98,2098.18,,0
2015-07-15,2107.4,2109.01,2114.14,2102.49,,0
2015-07-16,2124.29,2110.55,2124.42,2110.55,,0
2015-07-17,2126.64,2126.8,2128.91,2119.88,,0
2015-07-20,2128.28,2126.85,2132.82,2123.65,,0
2015-07-21,2119.21,2127.55,2128.49,2115.4,,0
2015-07-22,2114.15,2118.21,2118.51,2110.0,,0
2015-07-23,2102.15,2114.16,2116.87,2098.63,,0
2015-07-24,2079.65,2102.24,2106.01,2077.09,,0
2015-07-27,2067.64,2078.19,2078.19,2063.52,,0
2015-07-28,2093.25,2070.75,2095.6,2069.09,,0
2015-07-29,2108.57,2094.7,2110.6,2094.08,,0
2015-07-30,2108.63,2106.78,2110.48,2094.97,,0
2015-07-31,2103.84,2111.6,2114.24,2102.07,,0
2015-08-03,2098.04,2104.49,2105.7,2087.31,,0
2015-08-04,2093.32,2097.68,2102.51,2088.6,,0
2015-08-05,2099.84,2095.27,2112.66,2095.27,,0
2015-08-06,2083.56,2100.75,2103.32,2075.53,,0
2015-08-07,2077.57,2082.61,2082.61,2067.91,,0
2015-08-10,2104.18,2080.98,2105.35,2080.98,,0
2015-08-11,2084.07,2102.66,2102.66,2076.49,,0
2015-08-12,2086.05,2081.1,2089.06,2052.09,,0
2015-08-13,2083.39,2086.19,2092.93,2078.26,,0
2015-08-14,2091.54,2083.15,2092.45,2080.61,,0
2015-08-17,2102.44,2089.7,2102.87,2079.3,,0
2015-08-18,2096.92,2101.99,2103.47,2094.14,,0
2015-08-19,2079.61,2095.69,2096.17,2070.53,,0
2015-08-20,2035.73,2076.61,2076.61,2035.73,,0
2015-08-21,1970.89,2034.08,2034.08,1970.89,,0
2015-08-24,1893.21,1965.15,1965.15,1867.01,,0
